dt,program_title,device_name,country_code,product_type,unique_users,content_count
2018-10-01,"""Yo, min venn er et spøkelse""",androiddash,Normway,svod,1,1
2018-10-01,1. Division,androiddash,Denmark,svod,1,1
2018-10-01,1. Division,atv,Denmark,svod,1,1
2018-10-01,1. Division,ios,Denmark,svod,4,4
2018-10-01,1. Division,pcdash,Denmark,svod,1,1
2018-10-01,100 Things To Do Before High School,androiddash,Denmark,svod,9,12
2018-10-01,100 Things To Do Before High School,androiddash,Normway,svod,1,1
2018-10-01,100 Things To Do Before High School,androiddash,Sweden,svod,6,6
2018-10-01,100 Things To Do Before High School,androidxdk,Sweden,svod,1,1
2018-10-01,100 Things To Do Before High School,atv,Denmark,svod,2,2
2018-10-01,100 Things To Do Before High School,atv,Normway,svod,2,2
2018-10-01,100 Things To Do Before High School,atv,Sweden,svod,8,9
2018-10-01,100 Things To Do Before High School,chromecast,Denmark,svod,1,1
2018-10-01,100 Things To Do Before High School,chromecast,Sweden,svod,5,7
2018-10-01,100 Things To Do Before High School,ios,Denmark,svod,26,30
2018-10-01,100 Things To Do Before High School,ios,Normway,svod,11,12
2018-10-01,100 Things To Do Before High School,ios,Sweden,svod,18,21
2018-10-01,100 Things To Do Before High School,lg2015xdk,Normway,svod,1,1
2018-10-01,100 Things To Do Before High School,lg2017xdk,Denmark,svod,1,1
2018-10-01,100 Things To Do Before High School,pcdash,Denmark,svod,3,4
2018-10-01,100 Things To Do Before High School,pcdash,Sweden,svod,2,2
2018-10-01,100 Things To Do Before High School,ps4xdk,Denmark,svod,5,6
2018-10-01,100 Things To Do Before High School,samsung2012xdk,Denmark,svod,1,1
2018-10-01,100 Things To Do Before High School,samsung2012xdk,Sweden,svod,2,2
2018-10-01,100 Things To Do Before High School,samsung2013xdk,Normway,svod,1,1
2018-10-01,100 Things To Do Before High School,samsung2013xdk,Sweden,svod,2,2
2018-10-01,100 Things To Do Before High School,samsung2014xdk,Denmark,svod,1,1
2018-10-01,100 Things To Do Before High School,samsung2015xdk,Denmark,svod,1,1
2018-10-01,100 Things To Do Before High School,samsung2015xdk,Sweden,svod,1,1
2018-10-01,100 Things To Do Before High School,samsung2016xdk,Sweden,svod,2,3
2018-10-01,100 Things To Do Before High School,samsung2017xdk,Denmark,svod,1,2
2018-10-01,100 Things To Do Before High School,samsung2017xdk,Normway,svod,3,4
2018-10-01,100 Things To Do Before High School,samsung2017xdk,Sweden,svod,2,2
2018-10-01,100 Things To Do Before High School,samsung2018xdk,Normway,svod,1,2
2018-10-01,100 saker att göra före High School,ios,Sweden,svod,2,2
2018-10-01,100 ting at nå inden high school,ios,Denmark,svod,1,1
2018-10-01,100 ting å gjøre før high school,ios,Normway,svod,1,1
2018-10-01,101 Dalmatians,androidxdk,Denmark,svod,1,1
2018-10-01,101 Dalmatians,atv,Sweden,svod,1,1
2018-10-01,101 Dalmatians,lg2014xdk,Sweden,svod,1,1
2018-10-01,101 Dalmatians,pcdash,Normway,svod,1,1
2018-10-01,101 Dalmatians,pcdash,Sweden,svod,2,2
2018-10-01,102 Dalmatians,androiddash,Sweden,svod,1,1
2018-10-01,102 Dalmatians,atv,Normway,svod,1,1
2018-10-01,102 Dalmatians,atv,Sweden,svod,3,3
2018-10-01,102 Dalmatians,lg2012xdk,Normway,svod,1,1
2018-10-01,102 Dalmatians,lg2015xdk,Sweden,svod,1,1
2018-10-01,102 Dalmatians,pcdash,Sweden,svod,1,1
2018-10-01,102 Dalmatians,samsung2016xdk,Sweden,svod,1,1
2018-10-01,11.22.63,androiddash,Denmark,svod,1,1
2018-10-01,11.22.63,androiddash,Finland,svod,1,1
2018-10-01,11.22.63,androiddash,Sweden,svod,2,2
2018-10-01,11.22.63,atv,Sweden,svod,1,1
2018-10-01,11.22.63,chromecast,Denmark,svod,1,1
2018-10-01,11.22.63,chromecast,Sweden,svod,2,2
2018-10-01,11.22.63,ios,Normway,svod,1,1
2018-10-01,11.22.63,ios,Sweden,svod,1,1
2018-10-01,11.22.63,lg2016xdk,Denmark,svod,1,1
2018-10-01,11.22.63,lg2016xdk,Normway,svod,1,1
2018-10-01,11.22.63,pcdash,Normway,svod,1,1
2018-10-01,11.22.63,pcdash,Sweden,svod,4,4
2018-10-01,11.22.63,pchls,Denmark,svod,1,1
2018-10-01,11.22.63,ps4xdk,Denmark,svod,1,1
2018-10-01,11.22.63,ps4xdk,Finland,svod,1,1
2018-10-01,11.22.63,ps4xdk,Normway,svod,1,1
2018-10-01,11.22.63,ps4xdk,Sweden,svod,1,1
2018-10-01,11.22.63,samsung2012xdk,Sweden,svod,2,3
2018-10-01,11.22.63,samsung2015xdk,Normway,svod,2,2
2018-10-01,11.22.63,samsung2017xdk,Normway,svod,1,1
2018-10-01,11.22.63,samsung2018xdk,Sweden,svod,1,1
2018-10-01,150 Milligrams,androiddash,Normway,svod,1,1
2018-10-01,150 Milligrams,androiddash,Sweden,svod,1,1
2018-10-01,150 Milligrams,androiddash,Sweden,svod,1,1
2018-10-01,150 Milligrams,androidxdk,Sweden,svod,1,1
2018-10-01,150 Milligrams,atv,Denmark,svod,2,2
2018-10-01,150 Milligrams,ios,Denmark,svod,1,1
2018-10-01,150 Milligrams,ios,Denmark,svod,2,2
2018-10-01,150 Milligrams,ios,Normway,svod,2,2
2018-10-01,150 Milligrams,ios,Sweden,svod,3,3
2018-10-01,16 & pregnant,atv,Sweden,svod,1,1
2018-10-01,16 & pregnant,ios,Normway,svod,2,2
2018-10-01,16 & pregnant,ios,Sweden,svod,1,1
2018-10-01,16 & pregnant,samsung2015xdk,Sweden,svod,1,1
