hour,user_id,genre
0,1103,Series Other
1,872,Series Other
2,733,Series Other
3,714,Series Other
4,1216,Series Kids
5,1943,Series Kids
6,1205,Series Kids
7,1040,Series Other
8,1083,Series Other
9,1216,Series Other
10,1346,Series Other
11,1245,Series Other
12,1379,Series Other
13,1768,Series Kids
14,2443,Series Kids
15,2781,Series Kids
16,2918,Series Kids
17,2537,Series Kids
18,3211,Series Other
19,3657,Series Other
20,3397,Series Other
21,2430,Series Other
22,1703,Series Other
23,1256,Series Other
